Date,stock_price,benchmark_price
2025-12-05,278.5193786621094,6870.39990234375
2025-12-08,277.6302185058594,6846.509765625
2025-12-09,276.9208679199219,6840.509765625
2025-12-10,278.5193786621094,6886.68017578125
2025-12-11,277.77008056640625,6901.0
2025-12-12,278.0198669433594,6827.41015625
2025-12-15,273.8537292480469,6816.509765625
2025-12-16,274.353271484375,6800.259765625
2025-12-17,271.58587646484375,6721.43017578125
2025-12-18,271.935546875,6774.759765625
2025-12-19,273.4141845703125,6834.5
2025-12-22,270.7166748046875,6878.490234375
2025-12-23,272.1053771972656,6909.7900390625
2025-12-24,273.55401611328125,6932.0498046875
2025-12-26,273.1444091796875,6929.93994140625
2025-12-29,273.50408935546875,6905.740234375
2025-12-30,272.82470703125,6896.240234375
2025-12-31,271.6058349609375,6845.5
2026-01-02,270.75665283203125,6858.47021484375
2026-01-05,267.0101623535156,6902.0498046875
2026-01-06,262.1147155761719,6944.81982421875
2026-01-07,260.08660888671875,6920.93017578125
2026-01-08,258.7978515625,6921.4599609375
2026-01-09,259.1275329589844,6966.27978515625
2026-01-12,260.0067138671875,6977.27001953125
2026-01-13,260.8059387207031,6963.740234375
2026-01-14,259.71697998046875,6926.60009765625
2026-01-15,257.9685974121094,6944.47021484375
2026-01-16,255.29112243652344,6940.009765625
2026-01-20,246.46937561035156,6796.85986328125
2026-01-21,247.41848754882812,6875.6201171875
2026-01-22,248.1178436279297,6913.35009765625
2026-01-23,247.80812072753906,6915.60986328125
2026-01-26,255.17123413085938,6950.22998046875
2026-01-27,258.0285339355469,6978.60009765625
2026-01-28,256.2002868652344,6978.02978515625
2026-01-29,258.0385437011719,6969.009765625
2026-01-30,259.2374267578125,6939.02978515625
2026-02-02,269.7575988769531,6976.43994140625
2026-02-03,269.22808837890625,6917.81005859375
2026-02-04,276.23150634765625,6882.72021484375
2026-02-05,275.6520690917969,6798.39990234375
2026-02-06,277.8599853515625,6932.2998046875
2026-02-09,274.6199951171875,6964.81982421875
2026-02-10,273.67999267578125,6941.81005859375
2026-02-11,275.5,6941.47021484375
2026-02-12,261.7300109863281,6832.759765625
2026-02-13,255.77999877929688,6836.169921875
2026-02-17,263.8800048828125,6843.22021484375
2026-02-18,264.3500061035156,6881.31005859375
2026-02-19,260.5799865722656,6861.89013671875
2026-02-20,264.5799865722656,6909.509765625
2026-02-23,266.17999267578125,6837.75
2026-02-24,272.1400146484375,6890.06982421875
2026-02-25,274.2300109863281,6946.1298828125
2026-02-26,272.95001220703125,6908.85986328125
2026-02-27,264.17999267578125,6878.8798828125
2026-03-02,264.7200012207031,6881.6201171875
2026-03-03,263.75,6816.6298828125
2026-03-04,262.5199890136719,6869.5
2026-03-05,260.2900085449219,6830.7099609375
2026-03-06,257.4599914550781,6740.02001953125
2026-03-09,259.8800048828125,6795.990234375
2026-03-10,260.8299865722656,6781.47998046875
