Date,stock_price,stock_daily_return,stock_cumulative_return,benchmark_price,benchmark_daily_return,benchmark_cumulative_return
2025-12-05,278.5193786621094,,0.0,6870.39990234375,,0.0
2025-12-08,277.6302185058594,-0.0031924534677664207,-0.0031924534677664207,6846.509765625,-0.003477255626794018,-0.003477255626794018
2025-12-09,276.9208679199219,-0.0025550193698475887,-0.005739316057166488,6840.509765625,-0.0008763589340257116,-0.0043505672367852855
2025-12-10,278.5193786621094,0.005772445948890148,0.0,6886.68017578125,0.00674955693920154,0.0023696253011338264
2025-12-11,277.77008056640625,-0.0026902907054526803,-0.0026902907054526803,6901.0,0.002079350841514227,0.004453903425011951
2025-12-12,278.0198669433594,0.0008992558753764257,-0.0017934540897995843,6827.41015625,-0.010663649289958,-0.006257240729041769
2025-12-15,273.8537292480469,-0.014985035929685031,-0.016751615045510704,6816.509765625,-0.0015965630269072495,-0.007843813676750577
2025-12-16,274.353271484375,0.0018241206270945831,-0.01495805138495776,6800.259765625,-0.0023839179519623555,-0.010209032620477121
2025-12-17,271.58587646484375,-0.010086976563313366,-0.02489414643451826,6721.43017578125,-0.011592143912241393,-0.02168283195737719
2025-12-18,271.935546875,0.0012875132341483297,-0.023638684743357175,6774.759765625,0.007934262269941872,-0.013920606962940174
2025-12-19,273.4141845703125,0.005437456457254575,-0.01832976260510133,6834.5,0.008818059450332205,-0.0052253002523918735
2025-12-22,270.7166748046875,-0.0098660198257976,-0.028014940629634832,6878.490234375,0.006436496360377575,0.0011775634819293224
2025-12-23,272.1053771972656,0.005129726100470355,-0.023028923501315468,6909.7900390625,0.004550388765703239,0.0057333106192716254
2025-12-24,273.55401611328125,0.0053238158353827725,-0.017827709413540838,6932.0498046875,0.0032214822012188726,0.008973262578604535
2025-12-26,273.1444091796875,-0.0014973530252399003,-0.0192983680641573,6929.93994140625,-0.00030436354912266594,0.008666167895436283
2025-12-29,273.50408935546875,0.0013168132449112857,-0.018006967165918097,6905.740234375,-0.00349205148036813,0.005143853710639856
2025-12-30,272.82470703125,-0.002483993295382736,-0.020446231275590532,6896.240234375,-0.0013756671519022934,0.0037611103281536273
2025-12-31,271.6058349609375,-0.004467601499789753,-0.024822487161868412,6845.5,-0.007357666300846111,-0.003624228967407661
2026-01-02,270.75665283203125,-0.003126523879828924,-0.02787140294282897,6858.47021484375,0.0018947067188299638,-0.0017363890995528708
2026-01-05,267.0101623535156,-0.013837113287258118,-0.04132285647009237,6902.0498046875,0.006354126864826393,0.004606704528648198
2026-01-06,262.1147155761719,-0.018334308830022295,-0.0588995392878533,6944.81982421875,0.006196712678341321,0.01083196363134764
2026-01-07,260.08660888671875,-0.00773747740562758,-0.06618128283903923,6920.93017578125,-0.003439923431013958,0.007354779074834283
2026-01-08,258.7978515625,-0.004955108337700187,-0.070808455750344,6921.4599609375,7.65482590914246e-05,0.0074318903294599
2026-01-09,259.1275329589844,0.0012738954148727721,-0.06962476290258579,6966.27978515625,0.006475487031883276,0.013955502470794023
2026-01-12,260.0067138671875,0.0033928502238405045,-0.06646813907114413,6977.27001953125,0.001577633215136931,0.015555152350162915
2026-01-13,260.8059387207031,0.0030738623692765366,-0.06359859061331419,6963.740234375,-0.0019391230550597216,0.013585865940556108
2026-01-14,259.71697998046875,-0.0041753602144793955,-0.06750840380284984,6926.60009765625,-0.005333360445499591,0.00818004717503129
2026-01-15,257.9685974121094,-0.00673187624656213,-0.07378582182940818,6944.47021484375,0.0025799262171273263,0.01078107731032274
2026-01-16,255.29112243652344,-0.010379073276537754,-0.083399066654409,6940.009765625,-0.0006423023039563436,0.010131850295570954
2026-01-20,246.46937561035156,-0.03455563492367564,-0.11507279387779956,6796.85986328125,-0.02062675805627745,-0.010703894985415685
2026-01-21,247.41848754882812,0.003850831106810837,-0.11166508866520097,6875.6201171875,0.011587741323274559,0.0007598123716163752
2026-01-22,248.1178436279297,0.0028266120532465244,-0.10915411049750234,6913.35009765625,0.005487502192628835,0.006251484036300381
2026-01-23,247.80812072753906,-0.001248289505752287,-0.11026614407261093,6915.60986328125,0.0003268698377891788,0.006580397295662399
2026-01-26,255.17123413085938,0.029712962519965025,-0.08382951535869643,6950.22998046875,0.005006083031276365,0.01161942234217972
2026-01-27,258.0285339355469,0.011197578028024013,-0.0735706248699528,6978.60009765625,0.004081896177137168,0.015748747794956053
2026-01-28,256.2002868652344,-0.007085445328186779,-0.08013478955786302,6978.02978515625,-8.172305219089626e-05,0.01566573770702706
2026-01-29,258.0385437011719,0.007175077196164281,-0.0735346856628748,6969.009765625,-0.001292631274007694,0.014352856410528858
2026-01-30,259.2374267578125,0.0046461394466286166,-0.0692301986199999,6939.02978515625,-0.004301899620894223,0.00998921224208349
2026-02-02,269.7575988769531,0.04058122413384724,-0.03145842069318161,6976.43994140625,0.00539126612916796,0.015434332872869216
2026-02-03,269.22808837890625,-0.0019629122599374993,-0.03335958283346219,6917.81005859375,-0.008403983020698336,0.006900639980771395
2026-02-04,276.23150634765625,0.026012954335186356,-0.00821440980316357,6882.72021484375,-0.005072391906223106,0.0017932453241620294
2026-02-05,275.6520690917969,-0.0020976508564164442,-0.010294829695821406,6798.39990234375,-0.012251015567674717,-0.010479739319895653
2026-02-06,277.8599853515625,0.008009793893585249,-0.002367495266269226,6932.2998046875,0.0196957966973359,0.009009650562354476
2026-02-09,274.6199951171875,-0.01166051394653178,-0.014000403001230288,6964.81982421875,0.004691086716887227,0.013743002331318532
2026-02-10,273.67999267578125,-0.003422920610733904,-0.01737540134397275,6941.81005859375,-0.003303712975458173,0.010393886420736687
